ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,Unnamed: 7,Unnamed: 8,full-date
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,15.6W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:30:14,,,2023-03-18 2023-08-25 00:30:14
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,3W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:30:13,,,2023-03-18 2023-08-25 00:30:13
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 00:29:54,,,2023-03-18 2023-08-25 00:29:54
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 00:29:52,,,2023-03-18 2023-08-25 00:29:52
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0.12kWh,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 23:48:35,,,2023-03-16 2023-08-24 23:48:35
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 23:45:14,,,2023-03-16 2023-08-24 23:45:14
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 23:45:13,,,2023-03-16 2023-08-24 23:45:13
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 23:45:13,,,2023-03-16 2023-08-24 23:45:13
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 23:32:18,,,2023-03-16 2023-08-24 23:32:18
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 23:32:17,,,2023-03-16 2023-08-24 23:32:17
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,28.8W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 23:31:43,,,2023-03-16 2023-08-24 23:31:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.5W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 23:30:47,,,2023-03-16 2023-08-24 23:30:47
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 23:30:44,,,2023-03-16 2023-08-24 23:30:44
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 22:58:59,,,2023-03-16 2023-08-24 22:58:59
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 22:58:58,,,2023-03-16 2023-08-24 22:58:58
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.7W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 22:57:43,,,2023-03-16 2023-08-24 22:57:43
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-24 22:57:40,,,2023-03-16 2023-08-24 22:57:40
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30.1W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 22:31:43,,,2023-03-16 2023-08-24 22:31:43
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 22:31:40,,,2023-03-16 2023-08-24 22:31:40
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:59:21,,,2023-03-16 2023-08-24 21:59:21
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,4.8W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:59:20,,,2023-03-16 2023-08-24 21:59:20
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,37,Luz 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:48:40,,,2023-03-16 2023-08-24 21:48:40
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:48:40,,,2023-03-16 2023-08-24 21:48:40
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,33,32.0,Default Section/SalÃ³n,Sistema,2023-08-24 21:48:39,,,2023-03-16 2023-08-24 21:48:39
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:41,,,2023-03-16 2023-08-24 21:00:41
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:41,,,2023-03-16 2023-08-24 21:00:41
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:38,,,2023-03-16 2023-08-24 21:00:38
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:37,,,2023-03-16 2023-08-24 21:00:37
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,192.5W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:28,,,2023-03-16 2023-08-24 21:00:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,183W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:28,,,2023-03-16 2023-08-24 21:00:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30.1W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:18,,,2023-03-16 2023-08-24 21:00:18
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 21:00:16,,,2023-03-16 2023-08-24 21:00:16
https://home.fibaro.com/assets/icon/fibaro/door_lock/door_lock0.png,Control de acceso: Manual - Desbloqueada,65,Puerta,Default Section/Entrada,Sistema,2023-08-24 18:50:51,,,2023-03-16 2023-08-24 18:50:51
https://home.fibaro.com/assets/icon/fibaro/door_lock/door_lock0.png,Control de acceso: Manual - Desbloqueada,65,Puerta,Default Section/Entrada,Sistema,2023-08-24 18:50:51,,,2023-03-16 2023-08-24 18:50:51
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0.07kWh,50,49.0,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:46,,,2023-03-16 2023-08-24 18:50:46
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0.08kWh,45,44.0,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:46,,,2023-03-16 2023-08-24 18:50:46
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0.09kWh,33,32.0,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:44,,,2023-03-16 2023-08-24 18:50:44
https://home.fibaro.com/assets/icon/fibaro/nieznane/nieznane.png,ReconfiguraciÃ³n de la red de malla,64,64,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:44,,,2023-03-16 2023-08-24 18:50:44
https://home.fibaro.com/assets/icon/fibaro/nieznane/nieznane.png,ReconfiguraciÃ³n de la red de malla,56,56,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:43,,,2023-03-16 2023-08-24 18:50:43
https://home.fibaro.com/assets/icon/fibaro/nieznane/nieznane.png,ReconfiguraciÃ³n de la red de malla,54,Enchufe SalÃ³n,Default Section/SalÃ³n,Sistema,2023-08-24 18:50:43,,,2023-03-16 2023-08-24 18:50:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.6W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:27:36,,,2023-03-16 2023-08-24 03:27:36
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.7W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:21:22,,,2023-03-16 2023-08-24 03:21:22
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.8W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:15:06,,,2023-03-16 2023-08-24 03:15:06
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.7W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:08:51,,,2023-03-16 2023-08-24 03:08:51
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.6W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:08:51,,,2023-03-16 2023-08-24 03:08:51
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.5W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 03:02:35,,,2023-03-16 2023-08-24 03:02:35
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,1.4kWh,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-24 02:56:21,,,2023-03-16 2023-08-24 02:56:21
